,BLAST,Machine
A1,0,4574
A2,0,5262
A3,0,5740
A4,0,4175
A5,6,5402
A6,7,6345
A7,20,6517
B1,0,4102
B2,0,6418
B3,0,7353
B4,0,5012
B5,9,6385
B6,0,6263
B7,21,5687
C1,0,4703
C2,0,5260
C3,0,7472
C4,0,7883
C5,0,5015
C6,9,6614
C7,23,4950
D1,0,5486
D2,0,5678
D3,0,6428
D4,0,7357
D5,7,6176
D6,0,6039
D7,34,6563
E1,0,4958
E2,0,6835
E3,0,6337
E4,0,8599
E5,8,5921
E6,0,5672
E7,18,6051
F1,0,5523
F2,0,4124
F3,0,5427
F4,0,3982
F5,0,5387
F6,0,4784
F7,50,4842
G1,0,5342
G2,0,4220
G3,0,5626
G4,0,4615
G5,0,6738
G6,3,4781
G7,48,4500
H1,0,4578
H2,0,4278
H3,0,5388
H4,0,4045
H5,0,6434
H6,0,4783
H7,57,5075
I1,0,4182
I2,0,5114
I3,7,5470
I4,0,5127
I5,0,5418
I6,0,5349
I7,34,4080
J1,0,4473
J2,0,5215
J3,0,5528
J4,0,5200
J5,0,5505
J6,0,5270
J7,30,4512
L1,0,57301
L2,0,56590
L3,0,60650
L4,6,50107
L5,18,54280
L6,2,47168
S1,29481,67678
S2,21195,49966
S3,25420,61028
S4,26967,60256
S5,18161,39692
S6,15987,34308
X1,1153,5779
X2,11595,39495
Z1,16,144
Z2,166,443
Z3,15,94
Z4,59,168
Z5,47,157
Z6,121,293
