".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"Frequency","No Spike Control","Enumeration Spike Control",60,60,2.12274964137215,0.0337748367822525,0.337748367822525,"ns"
"Frequency","No Spike Control","0.1cfu",60,60,2.55595425464574,0.010589703953278,0.137666151392615,"ns"
"Frequency","No Spike Control","1cfu",60,60,1.99292936638462,0.0462691821230648,0.416422639107583,"ns"
"Frequency","No Spike Control","10cfu",60,60,3.88708243658307,0.000101456306187425,0.00152184459281138,"**"
"Frequency","No Spike Control","100cfu",60,60,4.4924400232097,7.04117517987224e-06,0.000119699978057828,"***"
"Frequency","No Spike Control","1000cfu",60,60,7.81884938810751,5.33083452740509e-15,1.11947525075507e-13,"****"
"Frequency","Enumeration Spike Control","0.1cfu",60,60,0.433204613273598,0.664866127700804,1,"ns"
"Frequency","Enumeration Spike Control","1cfu",60,60,-0.129820274987527,0.896708621540632,1,"ns"
"Frequency","Enumeration Spike Control","10cfu",60,60,1.76433279521093,0.0776759655981024,0.466055793588614,"ns"
"Frequency","Enumeration Spike Control","100cfu",60,60,2.36969038183755,0.0178029868124793,0.195832854937272,"ns"
"Frequency","Enumeration Spike Control","1000cfu",60,60,5.69609974673536,1.22579179863999e-08,2.32900441741597e-07,"****"
"Frequency","0.1cfu","1cfu",60,60,-0.563024888261125,0.573417936558,1,"ns"
"Frequency","0.1cfu","10cfu",60,60,1.33112818193733,0.183146837371541,0.915734186857707,"ns"
"Frequency","0.1cfu","100cfu",60,60,1.93648576856395,0.0528082338971326,0.42246587117706,"ns"
"Frequency","0.1cfu","1000cfu",60,60,5.26289513346176,1.41804469319056e-07,2.55248044774301e-06,"****"
"Frequency","1cfu","10cfu",60,60,1.89415307019845,0.0582046952193451,0.42246587117706,"ns"
"Frequency","1cfu","100cfu",60,60,2.49951065682508,0.0124364958567506,0.149237950281007,"ns"
"Frequency","1cfu","1000cfu",60,60,5.82592002172289,5.679881396174e-09,1.1359762792348e-07,"****"
"Frequency","10cfu","100cfu",60,60,0.605357586626625,0.544941425918058,1,"ns"
"Frequency","10cfu","1000cfu",60,60,3.93176695152443,8.43237904777882e-05,0.00134918064764461,"**"
"Frequency","100cfu","1000cfu",60,60,3.32640936489781,0.000879726245113357,0.012316167431587,"*"
