"Sample_ID","Taxonomy","Frequency","Treatment","Spike","Lysis","copie_number","readcell"
"A1","C",0,"No Spike Control","Pathogen Spike-in","Gram-negative Lysis",3,0
"A1","A",0,"No Spike Control","Enumeration Spike-in","Gram-negative Lysis",7,0
"A1","L",0,"No Spike Control","Pathogen Spike-in","Gram-negative Lysis",6,0
"A1","I",0,"No Spike Control","Enumeration Spike-in","Gram-negative Lysis",3,0
"A1","S",0,"No Spike Control","Pathogen Spike-in","Gram-negative Lysis",7,0
"A1","T",0,"No Spike Control","Enumeration Spike-in","Gram-negative Lysis",2,0
"B1","C",0,"Enumeration Spike Control","Pathogen Spike-in","Gram-negative Lysis",3,0
"B1","A",0,"Enumeration Spike Control","Enumeration Spike-in","Gram-negative Lysis",7,0
"B1","L",0,"Enumeration Spike Control","Pathogen Spike-in","Gram-negative Lysis",6,0
"B1","I",2,"Enumeration Spike Control","Enumeration Spike-in","Gram-negative Lysis",3,0.666666666666667
"B1","S",0,"Enumeration Spike Control","Pathogen Spike-in","Gram-negative Lysis",7,0
"B1","T",11,"Enumeration Spike Control","Enumeration Spike-in","Gram-negative Lysis",2,5.5
"C1","C",0,"0.1cfu","Pathogen Spike-in","Gram-negative Lysis",3,0
"C1","A",0,"0.1cfu","Enumeration Spike-in","Gram-negative Lysis",7,0
"C1","L",0,"0.1cfu","Pathogen Spike-in","Gram-negative Lysis",6,0
"C1","I",0,"0.1cfu","Enumeration Spike-in","Gram-negative Lysis",3,0
"C1","S",0,"0.1cfu","Pathogen Spike-in","Gram-negative Lysis",7,0
"C1","T",7,"0.1cfu","Enumeration Spike-in","Gram-negative Lysis",2,3.5
"D1","C",0,"1cfu","Pathogen Spike-in","Gram-negative Lysis",3,0
"D1","A",0,"1cfu","Enumeration Spike-in","Gram-negative Lysis",7,0
"D1","L",0,"1cfu","Pathogen Spike-in","Gram-negative Lysis",6,0
"D1","I",3,"1cfu","Enumeration Spike-in","Gram-negative Lysis",3,1
"D1","S",0,"1cfu","Pathogen Spike-in","Gram-negative Lysis",7,0
"D1","T",5,"1cfu","Enumeration Spike-in","Gram-negative Lysis",2,2.5
"E1","C",0,"10cfu","Pathogen Spike-in","Gram-negative Lysis",3,0
"E1","A",0,"10cfu","Enumeration Spike-in","Gram-negative Lysis",7,0
"E1","L",0,"10cfu","Pathogen Spike-in","Gram-negative Lysis",6,0
