".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"Reads","0.1cfu","1000cfu",10,10,-1.65424979679433,0.0980767687849458,1,"ns"
"Reads","0.1cfu","100cfu",10,10,-0.0175052888549661,0.986033513597569,1,"ns"
"Reads","0.1cfu","10cfu",10,10,-0.73522213190859,0.462204222347398,1,"ns"
"Reads","0.1cfu","1cfu",10,10,-0.752727420763556,0.451613728753185,1,"ns"
"Reads","0.1cfu","Campylobacter Presence",10,6,1.30376213701276,0.192314695965606,1,"ns"
"Reads","0.1cfu","Enumeration Spike Control",10,10,-2.7658356390847,0.00567771434163045,0.221430859323587,"ns"
"Reads","0.1cfu","Listeria Presence",10,6,0.419427354155267,0.674903836287905,1,"ns"
"Reads","0.1cfu","No Spike Control",10,10,-2.87962001664198,0.0039815472353397,0.167224983884267,"ns"
"Reads","0.1cfu","Salmonella Presence",10,6,0.0909601490939135,0.927524256156743,1,"ns"
"Reads","1000cfu","100cfu",10,10,1.63674450793936,0.10168386496643,1,"ns"
"Reads","1000cfu","10cfu",10,10,0.919027664885738,0.358081102174583,1,"ns"
"Reads","1000cfu","1cfu",10,10,0.901522376030772,0.367310642157718,1,"ns"
"Reads","1000cfu","Campylobacter Presence",10,6,2.73638448524189,0.00621183998488558,0.229838079440766,"ns"
"Reads","1000cfu","Enumeration Spike Control",10,10,-1.11158584229037,0.26631626254816,1,"ns"
"Reads","1000cfu","Listeria Presence",10,6,1.8520497023844,0.0640186861153824,1,"ns"
"Reads","1000cfu","No Spike Control",10,10,-1.22537021984765,0.220435762100606,1,"ns"
"Reads","1000cfu","Salmonella Presence",10,6,1.52358249732305,0.127613038142838,1,"ns"
"Reads","100cfu","10cfu",10,10,-0.717716843053624,0.472931895890184,1,"ns"
"Reads","100cfu","1cfu",10,10,-0.73522213190859,0.462204222347398,1,"ns"
"Reads","100cfu","Campylobacter Presence",10,6,1.31892216186174,0.187195136255524,1,"ns"
"Reads","100cfu","Enumeration Spike Control",10,10,-2.74833035022973,0.00598996240545584,0.227618571407322,"ns"
"Reads","100cfu","Listeria Presence",10,6,0.434587379004252,0.663861957669183,1,"ns"
"Reads","100cfu","No Spike Control",10,10,-2.86211472778701,0.00420824545620383,0.172538063704357,"ns"
"Reads","100cfu","Salmonella Presence",10,6,0.106120173942899,0.915487005032295,1,"ns"
"Reads","10cfu","1cfu",10,10,-0.0175052888549661,0.986033513597569,1,"ns"
"Reads","10cfu","Campylobacter Presence",10,6,1.94048318067015,0.0523209962861951,1,"ns"
"Reads","10cfu","Enumeration Spike Control",10,10,-2.03061350717611,0.0422942164497822,1,"ns"
"Reads","10cfu","Listeria Presence",10,6,1.05614839781266,0.290900421866845,1,"ns"
"Reads","10cfu","No Spike Control",10,10,-2.14439788473339,0.0320010196102927,1,"ns"
"Reads","10cfu","Salmonella Presence",10,6,0.727681192751306,0.466808765736829,1,"ns"
"Reads","1cfu","Campylobacter Presence",10,6,1.95564320551913,0.0505071994844327,1,"ns"
"Reads","1cfu","Enumeration Spike Control",10,10,-2.01310821832114,0.0441032458432128,1,"ns"
"Reads","1cfu","Listeria Presence",10,6,1.07130842266164,0.284030773914843,1,"ns"
"Reads","1cfu","No Spike Control",10,10,-2.12689259587842,0.0334290081986605,1,"ns"
"Reads","1cfu","Salmonella Presence",10,6,0.742841217600291,0.457577817775745,1,"ns"
"Reads","Campylobacter Presence","Enumeration Spike Control",6,10,-3.69904606315247,0.000216411325848193,0.00952209833732049,"**"
"Reads","Campylobacter Presence","Listeria Presence",6,6,-0.790973075734745,0.42895970320459,1,"ns"
"Reads","Campylobacter Presence","No Spike Control",6,10,-3.79758622467088,0.000146111958553811,0.0065750381349215,"**"
"Reads","Campylobacter Presence","Salmonella Presence",6,6,-1.08476307529336,0.27802660348613,1,"ns"
"Reads","Enumeration Spike Control","Listeria Presence",10,6,2.81471128029498,0.00488210737752687,0.195284295101075,"ns"
"Reads","Enumeration Spike Control","No Spike Control",10,10,-0.113784377557282,0.909408723058616,1,"ns"
"Reads","Enumeration Spike Control","Salmonella Presence",10,6,2.48624407523363,0.012909938889889,0.451847861146115,"ns"
"Reads","Listeria Presence","No Spike Control",6,10,-2.91325144181339,0.00357686463290256,0.15380517921481,"ns"
"Reads","Listeria Presence","Salmonella Presence",6,6,-0.29378999955862,0.768918377244418,1,"ns"
"Reads","No Spike Control","Salmonella Presence",10,6,2.58478423675203,0.00974399527703602,0.350783829973297,"ns"
