".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"Richness","0.1cfu","1000cfu",10,10,0.613807663388569,0.539342432611104,1,"ns"
"Richness","0.1cfu","100cfu",10,10,0.723416174707956,0.469424236887636,1,"ns"
"Richness","0.1cfu","10cfu",10,10,0.583117280219141,0.55981435169821,1,"ns"
"Richness","0.1cfu","1cfu",10,10,-0.653266727463548,0.513584338710829,1,"ns"
"Richness","0.1cfu","Campylobacter Presence",10,6,-3.40206738900524,0.000668781446883794,0.0254136949815842,"*"
"Richness","0.1cfu","Enumeration Spike Control",10,10,-0.583117280219141,0.559814351698211,1,"ns"
"Richness","0.1cfu","Listeria Presence",10,6,-3.44636514146624,0.000568182073582247,0.0221591008697076,"*"
"Richness","0.1cfu","No Spike Control",10,10,-2.43769329174317,0.0147813094181933,0.399095354291218,"ns"
"Richness","0.1cfu","Salmonella Presence",10,6,-2.09211956622978,0.036427821279185,0.947123353258811,"ns"
"Richness","1000cfu","100cfu",10,10,0.109608511319387,0.912719860277046,1,"ns"
"Richness","1000cfu","10cfu",10,10,-0.030690383169428,0.975516460670372,1,"ns"
"Richness","1000cfu","1cfu",10,10,-1.26707439085212,0.205128691519588,1,"ns"
"Richness","1000cfu","Campylobacter Presence",10,6,-3.93364041853731,8.36689229839611e-05,0.00343042584234241,"**"
"Richness","1000cfu","Enumeration Spike Control",10,10,-1.19692494360771,0.231335810869629,1,"ns"
"Richness","1000cfu","Listeria Presence",10,6,-3.97793817099831,6.95154411386801e-05,0.00298916396896325,"**"
"Richness","1000cfu","No Spike Control",10,10,-3.05150095513174,0.00227700324027812,0.0819721166500123,"ns"
"Richness","1000cfu","Salmonella Presence",10,6,-2.62369259576185,0.0086982251722688,0.252248529995795,"ns"
"Richness","100cfu","10cfu",10,10,-0.140298894488815,0.888423837756404,1,"ns"
"Richness","100cfu","1cfu",10,10,-1.3766829021715,0.16861030717868,1,"ns"
"Richness","100cfu","Campylobacter Presence",10,6,-4.02856417381089,5.61185428735785e-05,0.00246921588643745,"**"
"Richness","100cfu","Enumeration Spike Control",10,10,-1.3065334549271,0.191371209749696,1,"ns"
"Richness","100cfu","Listeria Presence",10,6,-4.0728619262719,4.64389568982157e-05,0.00208975306041971,"**"
"Richness","100cfu","No Spike Control",10,10,-3.16110946645113,0.0015716942018971,0.0581526854701927,"ns"
"Richness","100cfu","Salmonella Presence",10,6,-2.71861635103544,0.00655555951406622,0.196666785421986,"ns"
"Richness","10cfu","1cfu",10,10,-1.23638400768269,0.216315857765563,1,"ns"
"Richness","10cfu","Campylobacter Presence",10,6,-3.9070617670607,9.34252772667924e-05,0.0037370110906717,"**"
"Richness","10cfu","Enumeration Spike Control",10,10,-1.16623456043828,0.243519622933432,1,"ns"
"Richness","10cfu","Listeria Presence",10,6,-3.95135951952171,7.77084825472114e-05,0.00326375626698288,"**"
"Richness","10cfu","No Spike Control",10,10,-3.02081057196232,0.00252099022059005,0.0882346577206518,"ns"
"Richness","10cfu","Salmonella Presence",10,6,-2.59711394428525,0.00940107324293077,0.263230050802061,"ns"
"Richness","1cfu","Campylobacter Presence",10,6,-2.83632180757468,0.0045636436727749,0.141472953856022,"ns"
"Richness","1cfu","Enumeration Spike Control",10,10,0.0701494472444077,0.944074710397075,1,"ns"
"Richness","1cfu","Listeria Presence",10,6,-2.88061956003569,0.00396894388697528,0.127006204383209,"ns"
"Richness","1cfu","No Spike Control",10,10,-1.78442656427963,0.074354377749412,1,"ns"
"Richness","1cfu","Salmonella Presence",10,6,-1.52637398479923,0.126916752739733,1,"ns"
"Richness","Campylobacter Presence","Enumeration Spike Control",6,10,2.89707301094977,0.00376662085553195,0.124298488232554,"ns"
"Richness","Campylobacter Presence","Listeria Presence",6,6,-0.039621114301307,0.968395193876456,1,"ns"
"Richness","Campylobacter Presence","No Spike Control",6,10,1.29096307172074,0.196716482947981,1,"ns"
"Richness","Campylobacter Presence","Salmonella Presence",6,6,1.17165295148151,0.241336419508469,1,"ns"
"Richness","Enumeration Spike Control","Listeria Presence",10,6,-2.94137076341078,0.00326763162308116,0.111099475184759,"ns"
"Richness","Enumeration Spike Control","No Spike Control",10,10,-1.85457601152403,0.063656796331722,1,"ns"
"Richness","Enumeration Spike Control","Salmonella Presence",10,6,-1.58712518817432,0.11248429417768,1,"ns"
"Richness","Listeria Presence","No Spike Control",6,10,1.33526082418174,0.181790995755854,1,"ns"
"Richness","Listeria Presence","Salmonella Presence",6,6,1.21127406578281,0.225790384747366,1,"ns"
"Richness","No Spike Control","Salmonella Presence",10,6,0.0189847510547167,0.984853270114235,1,"ns"
