".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"Shannon","0.1cfu","1000cfu",10,10,1.90807648519134,0.0563813314512203,1,"ns"
"Shannon","0.1cfu","100cfu",10,10,-0.236321399542046,0.813183282718938,1,"ns"
"Shannon","0.1cfu","10cfu",10,10,0.140042310839732,0.888626560545424,1,"ns"
"Shannon","0.1cfu","1cfu",10,10,-0.297589910534429,0.766016176105228,1,"ns"
"Shannon","0.1cfu","Campylobacter Presence",10,6,-2.63784432372348,0.00834348744389009,0.250304623316703,"ns"
"Shannon","0.1cfu","Enumeration Spike Control",10,10,1.28663873084003,0.19822023749496,1,"ns"
"Shannon","0.1cfu","Listeria Presence",10,6,-1.76614289490682,0.0773718786071963,1,"ns"
"Shannon","0.1cfu","No Spike Control",10,10,2.54701952839762,0.0108647353016218,0.315077323747032,"ns"
"Shannon","0.1cfu","Salmonella Presence",10,6,3.57776586436059,0.000346543659153869,0.0128221153886931,"*"
"Shannon","1000cfu","100cfu",10,10,-2.14439788473339,0.0320010196102927,0.736023451036731,"ns"
"Shannon","1000cfu","10cfu",10,10,-1.76803417435161,0.0770551906733969,1,"ns"
"Shannon","1000cfu","1cfu",10,10,-2.20566639572577,0.0274073664587561,0.657776795010147,"ns"
"Shannon","1000cfu","Campylobacter Presence",10,6,-4.29028703226291,1.78442335225786e-05,0.000749457807948303,"***"
"Shannon","1000cfu","Enumeration Spike Control",10,10,-0.621437754351309,0.534311637685066,1,"ns"
"Shannon","1000cfu","Listeria Presence",10,6,-3.41858560344624,0.000629475137583638,0.0220316298154273,"*"
"Shannon","1000cfu","No Spike Control",10,10,0.638943043206275,0.522859985260256,1,"ns"
"Shannon","1000cfu","Salmonella Presence",10,6,1.92532315582116,0.0541889424862881,1,"ns"
"Shannon","100cfu","10cfu",10,10,0.376363710381778,0.706646520948462,1,"ns"
"Shannon","100cfu","1cfu",10,10,-0.0612685109923828,0.951145368260156,1,"ns"
"Shannon","100cfu","Campylobacter Presence",10,6,-2.43318398826218,0.0149666935615039,0.404100726160605,"ns"
"Shannon","100cfu","Enumeration Spike Control",10,10,1.52296013038208,0.1277686804975,1,"ns"
"Shannon","100cfu","Listeria Presence",10,6,-1.56148255944551,0.118409935721819,1,"ns"
"Shannon","100cfu","No Spike Control",10,10,2.78334092793966,0.00538022379965488,0.172167161588956,"ns"
"Shannon","100cfu","Salmonella Presence",10,6,3.78242619982189,0.000155307147188947,0.00605697874036893,"**"
"Shannon","10cfu","1cfu",10,10,-0.437632221374161,0.661652909812572,1,"ns"
"Shannon","10cfu","Campylobacter Presence",10,6,-2.75912452251537,0.00579564462291276,0.179664983310296,"ns"
"Shannon","10cfu","Enumeration Spike Control",10,10,1.1465964200003,0.251548456758678,1,"ns"
"Shannon","10cfu","Listeria Presence",10,6,-1.8874230936987,0.0591034413936606,1,"ns"
"Shannon","10cfu","No Spike Control",10,10,2.40697721755788,0.016085173271312,0.418214505054112,"ns"
"Shannon","10cfu","Salmonella Presence",10,6,3.4564856655687,0.000547268314124689,0.0197016593084888,"*"
"Shannon","1cfu","Campylobacter Presence",10,6,-2.38012390129073,0.0173068177824325,0.432670444560813,"ns"
"Shannon","1cfu","Enumeration Spike Control",10,10,1.58422864137446,0.113141697743615,1,"ns"
"Shannon","1cfu","Listeria Presence",10,6,-1.50842247247406,0.131446435052313,1,"ns"
"Shannon","1cfu","No Spike Control",10,10,2.84460943893205,0.00444659078305186,0.146737495840711,"ns"
"Shannon","1cfu","Salmonella Presence",10,6,3.83548628679334,0.000125316098729117,0.00501264394916467,"**"
"Shannon","Campylobacter Presence","Enumeration Spike Control",6,10,3.75210615012392,0.000175355182457106,0.00666349693337003,"**"
"Shannon","Campylobacter Presence","Listeria Presence",6,6,0.779673460367106,0.435583104160233,1,"ns"
"Shannon","Campylobacter Presence","No Spike Control",6,10,4.84362793925088,1.27489564171026e-06,5.60954082352514e-05,"****"
"Shannon","Campylobacter Presence","Salmonella Presence",6,6,5.5594107608785,2.70686955751173e-08,1.21809130088028e-06,"****"
"Shannon","Enumeration Spike Control","Listeria Presence",10,6,-2.88040472130725,0.00397164975081741,0.135036091527792,"ns"
"Shannon","Enumeration Spike Control","No Spike Control",10,10,1.26038079755758,0.207532025399171,1,"ns"
"Shannon","Enumeration Spike Control","Salmonella Presence",10,6,2.46350403796015,0.0137586345680081,0.385241767904227,"ns"
"Shannon","Listeria Presence","No Spike Control",6,10,3.97192651043421,7.12937159134289e-05,0.00292304235245058,"**"
"Shannon","Listeria Presence","Salmonella Presence",6,6,4.77973730051139,1.75524389493871e-06,7.54754874823647e-05,"****"
"Shannon","No Spike Control","Salmonella Presence",10,6,1.37198224883319,0.170068963900702,1,"ns"
