Sample_ID,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;__,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Allobacillus;s__Allobacillus_halotolerans,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Listeriaceae;g__Listeria;s__Listeria_monocytogenes,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Imtechella;s__Imtechella_halotolerans,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella_enterica,d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Trueperaceae;g__Truepera;s__Truepera_radiovictrix
A1,0,0,0,0,0,0
B1,0,0,0,2,0,11
C1,0,0,0,0,0,7
D1,0,0,0,3,0,5
E1,0,0,0,0,6,0
F1,0,0,5,4,7,10
G1,28,0,17,0,20,8
A2,0,0,0,0,0,0
B2,0,0,0,0,0,3
C2,0,0,0,7,0,8
D2,0,0,0,2,0,4
E2,3,0,0,0,9,14
F2,3,0,0,2,0,5
G2,28,0,9,0,21,0
A3,0,0,0,0,0,0
B3,0,0,0,2,0,10
C3,0,0,0,0,0,5
D3,0,0,0,0,0,4
E3,0,0,0,8,0,30
F3,0,0,0,0,9,15
G3,33,0,7,0,23,36
A4,0,0,0,0,0,0
B4,0,2,0,0,0,7
C4,0,0,0,2,0,5
D4,0,0,0,0,0,9
E4,0,0,0,3,7,6
F4,8,0,0,0,0,6
G4,18,0,7,0,34,10
A5,2,0,0,0,0,0
B5,0,0,0,0,0,3
C5,0,0,0,2,0,5
D5,0,0,0,0,0,8
E5,0,0,0,2,8,14
F5,0,0,3,0,0,5
G5,27,0,9,0,18,6
A6,0,0,0,0,0,0
B6,0,0,0,0,0,8
C6,0,0,0,0,0,10
D6,0,0,0,0,0,6
E6,0,7,0,2,0,6
F6,2,0,8,0,0,7
G6,4,0,44,0,50,0
A7,0,0,0,0,0,0
B7,0,0,0,0,0,0
C7,0,0,0,0,0,6
D7,0,0,0,0,0,4
E7,0,0,0,2,0,15
F7,0,0,6,0,3,7
G7,8,0,49,0,48,5
A8,0,0,0,0,0,0
B8,0,0,0,0,0,3
C8,0,0,0,0,0,10
D8,0,0,0,0,0,0
E8,0,0,0,5,0,2
F8,2,0,0,0,0,5
G8,8,0,53,0,57,0
A9,0,0,0,0,0,0
B9,0,0,0,0,0,5
C9,0,0,0,0,7,16
D9,0,0,0,0,0,9
E9,0,0,0,0,0,12
F9,0,0,11,0,0,16
G9,6,0,50,0,34,0
A10,0,0,0,0,0,0
B10,0,0,0,3,0,4
C10,0,0,0,0,0,12
D10,0,0,0,2,0,6
E10,0,0,0,0,0,9
F10,0,0,5,0,0,5
G10,13,0,31,0,30,0
