"Sample_ID","Taxonomy","Frequency","Lysis","Treatment"
"L1","Unassigned.__.__.__.__.__.__",90,"Gram-negative Lysis","Listeria Presence"
"L1","d__Bacteria.p__Firmicutes.c__Bacilli.o__Staphylococcales.f__Staphylococcaceae.g__Macrococcus.__",0,"Gram-negative Lysis","Listeria Presence"
"L1","d__Bacteria.p__Campylobacterota.c__Campylobacteria.o__Campylobacterales.f__Campylobacteraceae.g__Campylobacter.__",0,"Gram-negative Lysis","Listeria Presence"
"L1","d__Bacteria.p__Actinobacteriota.c__Acidimicrobiia.o__Actinomarinales.f__uncultured.g__uncultured.s__uncultured_bacterium",0,"Gram-negative Lysis","Listeria Presence"
"L1","d__Bacteria.p__Actinobacteriota.c__Acidimicrobiia.o__Actinomarinales.f__uncultured.g__uncultured.__",0,"Gram-negative Lysis","Listeria Presence"
"L1","d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Chitinophagales.f__Chitinophagaceae.g__Cnuella.__",0,"Gram-negative Lysis","Listeria Presence"
"L1","d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Chitinophagales.f__Chitinophagaceae.g__uncultured.__",0,"Gram-negative Lysis","Listeria Presence"
"L1","d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Sphingobacteriales.f__Sphingobacteriaceae.g__Pedobacter.s__uncultured_bacterium",0,"Gram-negative Lysis","Listeria Presence"
"L1","d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Sphingobacteriales.f__Sphingobacteriaceae.g__Sphingobacterium.__",0,"Gram-negative Lysis","Listeria Presence"
"L1","d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Sphingobacteriales.f__Sphingobacteriaceae.g__Sphingobacterium.s__Sphingobacterium_sp.",0,"Gram-negative Lysis","Listeria Presence"
"L1","d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Sphingobacteriales.f__Sphingobacteriaceae.g__Pedobacter.__",0,"Gram-negative Lysis","Listeria Presence"
"L1","d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Sphingobacteriales.f__Sphingobacteriaceae.__.__",0,"Gram-negative Lysis","Listeria Presence"
