"Treatment","ESDilution","Reads","Richness","Shannon","Evenness"
"Heat-killed","1:1000",1735,4,0.264751875156485,0.190978108677157
"Heat-killed","1:1000",5517,4,0.291068685325478,0.209961674438569
"Heat-killed","1:1000",4165,4,0.321985556645666,0.232263482905287
"Heat-killed","1:1000",281,3,0.163726452112531,0.149030239149266
"Heat-killed","1:10",7527,4,0.781029846385769,0.563393943083509
"Heat-killed","1:10",1194,3,0.708865027847362,0.645236754730594
"Heat-killed","1:10",14824,4,0.804228976758756,0.580128578254531
"Heat-killed","1:10",16006,4,0.834969046536131,0.602302851366731
"Live","1:1000",527,5,1.06923152273212,0.664350898205833
"Live","1:1000",47,3,0.889225766262929,0.809408173779826
"Live","1:1000",1507,4,0.987444157246539,0.712290394407181
"Live","1:1000",924,4,1.13691319691754,0.820109515557075
"Live","1:10",28123,4,0.74879812451455,0.540143670432049
"Live","1:10",42,2,0.191444081957717,0.276195427647939
"Live","1:10",5832,4,0.75182464580619,0.542326844061346
"Live","1:10",4436,4,0.712525427208179,0.513978450170265
