"Treatment","Taxonomy","Mean","SD"
"No Spike Control","C",0,0
"No Spike Control","L",0,0
"No Spike Control","S",0,0
"No Spike Control","I",0,0
"No Spike Control","A",0,0
"0.1cfu","C",0,0
"0.1cfu","L",0,0
"0.1cfu","S",0,0
"0.1cfu","I",0,0
"0.1cfu","A",0,0
"1cfu","C",0,0
"1cfu","L",0,0
"1cfu","S",0,0
"1cfu","I",0.375,1.06066017177982
"1cfu","A",0,0
"10cfu","C",0,0
"10cfu","L",0,0
"10cfu","S",0,0
"10cfu","I",4.125,9.47835880911277
"10cfu","A",0,0
"100cfu","C",0.75,1.48804761828569
"100cfu","L",1.5,2.97609523657138
"100cfu","S",0,0
"100cfu","I",0.875,1.80772153354911
"100cfu","A",0,0
"1000cfu","C",5.75,7.14642767901758
"1000cfu","L",1.625,3.11390888939105
"1000cfu","S",1.125,3.18198051533946
"1000cfu","I",0,0
"1000cfu","A",0,0
