Feature ID	Taxon	Consensus
0006d173ab21dc392c1344b0d9e7546b	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Allobacillus;s__Allobacillus_halotolerans	1.0
000932690114c1f5096c1ac0f99fb613	Unassigned	1.0
000da7dddec895e76bf00f0888525cba	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae;g__Serratia	1.0
0014fea48165a161aff986dc19010ceb	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Shewanellaceae;g__Shewanella	1.0
0017d35ad9769d9952abd28909646a7a	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Salinivibrio	0.9
002c01030265a22e99fee08f1f4f7ffc	d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus	1.0
002dbd23da1fcc64f81bf6485b218ed4	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Comamonas	0.8
002e5cef4d0a079c45353a4d8e6e0dc6	Unassigned	1.0
00386019d95ff9bd5c51d79d1bbf33aa	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Labraceae;g__Labrys	1.0
004247bd096abe662de92ab7ecf6655e	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas	1.0
0045891c9e84010a257d9f4e619a2bb0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus	1.0
0048cf2f51a6493b48a6bd1a6a82681a	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Allobacillus;s__Allobacillus_halotolerans	1.0
0054fdbee210c882061a79723da4c355	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas	0.9
005d18ac6fe78b268dce05258a86935b	Unassigned	1.0
00632d5b2f5e47df8ac6e6e8903dc89d	d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_1	0.8
00660b349fc1bcafd0a7fd7c1f6302eb	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Chloroplast;f__Chloroplast;g__Chloroplast	1.0
006b59c70fa622689d28ad2f17418f7a	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Moellerella;s__Providencia_sp.	1.0
006c7fe30256ad921ef116b70827a3ae	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae	0.9
006ca5a823638b31a6d345216ee388c9	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria	1.0
007d62e30712bf29a64547bf2fe3d69e	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Shewanellaceae;g__Shewanella	1.0
007e6a633cc5cdde87a17730fe03ce18	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Delftia	0.8
008f4624afb60f9dbc3981b1839ae3db	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Shewanellaceae;g__Shewanella;s__Shewanella_morhuae	0.667
00925d8bc9bf7acda4e6bc7ec6052ba4	Unassigned	1.0
009baa00d2ad68eb5ab8a4f496cfe570	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Moellerella;s__Providencia_sp.	1.0
009c959c8d67739c13715cc26a3709a0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium	1.0
00a5535073f9eb311d1657d4376cfbe7	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__uncultured_bacterium	0.8
00a5ac09c7b6034d86129daf19a2f791	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Shewanellaceae;g__Shewanella	1.0
00a825dd77559d7a26e465af36e0268b	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Altererythrobacter;s__uncultured_bacterium	0.571
00a9ebf81748a30aea09f13788b55f0d	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella	1.0
00ab893d4e087255b4891e638ac0fe95	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium;s__uncultured_bacterium	0.6
00b369395e00f63d61c2fc640f6dc2a1	Unassigned	1.0
00b4a4fc503e1eb85e0042ef510f6b1b	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Shewanellaceae;g__Shewanella;s__Shewanella_morhuae	0.667
00c6c3eaa82d8ba337168d4817cba9ce	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas	0.9
00d0dddc877af217fbb32d186a17a9c6	Unassigned	1.0
00d4246e9b42427aa3f37de19fe81c0c	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Salinivibrio	0.9
00d999fa18fad40555aa27621a0736cb	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__uncultured_bacterium	0.6
00e044327d7f81084223e5c57e9ecb1e	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Bosea	1.0
00e5be2e6922a868d5d5ee61f18d9547	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae;g__Serratia	1.0
00fb0801065cdd0a3f96e745c26c8d23	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Chloroplast;f__Chloroplast;g__Chloroplast	1.0
00ff17b02e7eda723c7426ce32aff53e	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Shewanellaceae;g__Shewanella;s__uncultured_bacterium	0.6
010ae057d1928064fece6d6108e29bdb	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Myroides;s__Myroides_odoratimimus	0.6
010d89ea2716d51496020650aa80d14e	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ectothiorhodospirales;f__Ectothiorhodospiraceae;g__Thiogranum	0.8
011e0d16664063f3042e2262f50b79a4	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__uncultured;g__uncultured;s__uncultured_actinobacterium	1.0
01212be25aa23d6ba287257a21afa361	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Arcobacter;s__uncultured_bacterium	0.6
012c80d85893b4aef872a3218eeb1a47	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus	0.9
0135314bd4ccfdc5f9c69a00062dd4b7	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae;g__Serratia	1.0
0139cb3509bcc37319bcf13927afe024	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__uncultured_bacterium	0.8
01443714f0a6b01fcc136ddb591574c4	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Moellerella	1.0
01455681b2c551cd39bf83807c7d3842	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Cloacibacterium	1.0
01466a0a6bc2e3ad25683164f9f38636	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Massilia;s__uncultured_bacterium	0.6
014a02223182b2b1181f51b848fbeb89	Unassigned	1.0
014e5c99cc29ff43e34f0266e3ee0af2	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae	1.0
014f4c3a662161420ca40161f68e089a	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae;g__Serratia	1.0
0150639d007bf984056e8ea37e5d0bf2	Unassigned	1.0
01565fbfa9a33e3226ec00599e24a519	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas	1.0
01594e5a5abed88da1f794f4c91a0089	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Chloroplast;f__Chloroplast;g__Chloroplast	1.0
015dc6de00f8c6b083c16e98ceca9647	Unassigned	1.0
0162cfde2f3d2f8d0d1e4835ad5725e7	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Rheinheimera	1.0
0166a926b41fcc8bfcc2dc86e092e7a6	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio	1.0
0168e08ec160c623962f8dc0ebfb36bd	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halomonadaceae;g__Halomonas	1.0
018e3745016b016e5b63b2125ad53b18	Unassigned	1.0
01912861f023cd3b88236c4bdf4253a8	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella	1.0
0192d99de425be0fa00f50a1b455f40e	Unassigned	1.0
019d4d9f3232d437c4669482ee4d7daa	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Moellerella;s__Providencia_sp.	1.0
019d72be097a581e312aa080c77a3796	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Enhydrobacter;s__uncultured_bacterium	0.8
019f042b65d4359a1fcb77c3e53ec210	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio	1.0
01a26c8db551cac2e3ad6540cfff4a70	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Shewanellaceae;g__Shewanella	1.0
01a6777a831bc059512c1086f78d383b	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae;g__Serratia	1.0
01a7d35420a8fec661964b3ed846db00	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Rhizobacter;s__uncultured_bacterium	0.667
01aa21f5c751d80aeb938db2e9b5e207	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Imtechella;s__Imtechella_halotolerans	1.0
01ab12007989f4c41e570f9ec122280a	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Moellerella;s__Providencia_sp.	1.0
01ab94c7b02b407b7ff240c4b985d6db	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae;g__Serratia	0.8
01abb65f4aeb3a612cb8cddd477034b5	Unassigned	1.0
01ad798785aa71e41f136563fd1d3f87	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Nocardiaceae;g__Rhodococcus	1.0
01c033d0ef06500574eea87beb0ad5c0	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter	1.0
01d6f49dff27771810699f7a587b4bc1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Allobacillus;s__Allobacillus_halotolerans	1.0
01e3453dc724dea406402fb4d4063e40	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae;g__Serratia	1.0
01e4f3df2fe1aa62e7193e3ba640cc37	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Shewanellaceae;g__Shewanella	1.0
01e7ad9595b41ef5b6612446c1dddeef	Unassigned	1.0
01eaa2a0590f57218b24db5ffbf84293	Unassigned	1.0
0200ba5fd529fc1e477f88dfe0db79b3	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium	1.0
02019f2370176dff1503484112f80886	Unassigned	1.0
02091051744e2278a805e73cfc9f3e34	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__uncultured_bacterium	0.7
020b5b5e9ba15a7ac360cbb4f1ce9be1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae;g__Serratia	0.667
020f4a51e0c039e6e4e3c0aeadb0d8f8	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__uncultured_organism	0.6
020fbcc66c4b4ddde7c23f5207d74c43	Unassigned	1.0
021498a895c3c3272338bf1a11724586	Unassigned	1.0
021647a225803c9166f2503f62bf04ed	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__Methylophilus;s__uncultured_bacterium	0.6
0221fc4e39dc265bdf5626f1163c7e6b	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Shewanellaceae;g__Shewanella;s__Shewanella_morhuae	0.667
02244be344114498d478ad397727fc89	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio	1.0
0228c875818739f4dc0193f51129b76a	Unassigned	1.0
022e0628c36e458081b68c2d468997e5	Unassigned	1.0
023119f37d1a799ede2aa4c13b082b23	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas	1.0
02369fccb4218d5ab68cf72dc7a9a2e3	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas	0.9
02494c01392cfbc632d83d63f7bb072e	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Providencia;s__Providencia_alcalifaciens	0.625
024d33893d3e1526a566dc89eb4f5918	Unassigned	1.0
02511aae2b072c4b979f11d11ef7ab4c	d__Bacteria;p__Patescibacteria;c__ABY1;o__Candidatus_Magasanikbacteria;f__Candidatus_Magasanikbacteria;g__Candidatus_Magasanikbacteria	1.0
02515fe26d2a97b98e0b2d42ea590c77	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Flavisolibacter;s__uncultured_bacterium	0.7
02542a3a4d9c8634a634af5cac954ab8	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Moellerella;s__Providencia_sp.	1.0
