# Constructed from biom file
#OTU ID	A1	A2	A3	A4	A5	A6	A7	A8	B1	B2	B3	B4	B5	B6	B7	B8	BCA1	BCA2	BCA3	BCA4	BCA5	BCA6	BCA7	BCA8	BCB1	BCB2	BCB3	BCB4	BCB5	BCB6	BCB7	BCB8	BCC1	BCC2	BCC3	BCC4	BCC5	BCC6	BCC7	BCC8	BCD1	BCD2	BCD3	BCD4	BCD5	BCD6	BCD7	BCD8	BCE1	BCE2	BCE3	BCE4	BCE5	BCE6	BCE7	BCE8	BCF1	BCF2	BCF3	BCF4	BCF5	BCF6	BCF7	BCF8	C1	C2	C3	C4	C5	C6	C7	C8	D1	D2	D3	D4	D5	D6	D7	D8	E1	E2	E3	E4	E5	E6	E7	E8	EF1	EF2	EF3	EF4	EF5	EF6	F1	F2	F3	F4	F5	F6	F7	F8	HT1	HT2	HT3	HT4	HT5	HT6	HT7	HT8	LS1	LS2	LS3	LS4	LS5	LS6	LV1	LV2	LV3	LV4	LV5	LV6	LV7	LV8	WC1	WC2
Unassigned;__;__;__;__;__;__	385.0	453.0	334.0	349.0	468.0	272.0	500.0	401.0	290.0	333.0	338.0	313.0	333.0	353.0	370.0	428.0	119.0	83.0	416.0	480.0	407.0	370.0	349.0	402.0	358.0	265.0	812.0	161.0	933.0	969.0	291.0	2441.0	199.0	394.0	242.0	4176.0	1176.0	4416.0	46.0	1716.0	750.0	821.0	876.0	154.0	3647.0	2944.0	6035.0	1138.0	1372.0	3784.0	2664.0	1052.0	1559.0	4967.0	1584.0	6905.0	3725.0	1612.0	3987.0	1763.0	1584.0	4810.0	2608.0	1877.0	277.0	323.0	270.0	352.0	323.0	297.0	229.0	297.0	296.0	255.0	247.0	338.0	262.0	31.0	375.0	439.0	287.0	308.0	344.0	291.0	289.0	225.0	252.0	233.0	2808.0	1830.0	3267.0	1742.0	653.0	942.0	186.0	246.0	245.0	211.0	292.0	350.0	305.0	208.0	207.0	482.0	443.0	19.0	668.0	40.0	1584.0	2185.0	2027.0	2438.0	1527.0	2594.0	1099.0	4288.0	244.0	1088.0	100.0	427.0	492.0	4.0	893.0	392.0	6.0	229.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Moellerella;s__Providencia_sp.	9327.0	9117.0	7538.0	9665.0	9909.0	6668.0	8092.0	8070.0	7003.0	7162.0	8313.0	8564.0	8121.0	10568.0	9975.0	11592.0	1776.0	2086.0	9546.0	11743.0	12404.0	13225.0	11268.0	14598.0	13507.0	4726.0	14875.0	2354.0	17640.0	16461.0	5751.0	16124.0	1574.0	6546.0	1247.0	6853.0	741.0	9841.0	274.0	11477.0	9783.0	4952.0	1062.0	2781.0	8089.0	3855.0	3343.0	598.0	2182.0	0.0	543.0	3933.0	1036.0	3164.0	1633.0	558.0	178.0	439.0	713.0	1193.0	659.0	399.0	277.0	1000.0	7530.0	8661.0	10236.0	7978.0	14056.0	8849.0	9364.0	9867.0	16002.0	5773.0	19940.0	15762.0	12628.0	116.0	13428.0	13253.0	7909.0	10716.0	9350.0	13329.0	14927.0	9934.0	14403.0	8807.0	0.0	0.0	751.0	207.0	20.0	16.0	9329.0	12388.0	7962.0	7604.0	14833.0	17560.0	22697.0	10380.0	269.0	297.0	871.0	49.0	428.0	70.0	630.0	4460.0	375.0	1157.0	0.0	9.0	659.0	220.0	51.0	32.0	1394.0	2691.0	144.0	64.0	26.0	38.0	10.0	34.0
d__Bacteria;p__Chloroflexi;c__JG30-KF-CM66;o__JG30-KF-CM66;f__JG30-KF-CM66;g__JG30-KF-CM66;s__uncultured_bacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Thermomicrobiales;f__JG30-KF-CM45;g__JG30-KF-CM45;s__uncultured_bacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0	0.0	0.0	99.0	0.0	0.0	0.0	0.0	0.0	114.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Thermomicrobiales;f__JG30-KF-CM45;g__JG30-KF-CM45;s__uncultured_Thermomicrobium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__AKAU3564_sediment_group;g__AKAU3564_sediment_group;s__uncultured_organism	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Patescibacteria;c__Parcubacteria;o__Candidatus_Kaiserbacteria;f__Candidatus_Kaiserbacteria;g__Candidatus_Kaiserbacteria;s__uncultured_bacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Shewanellaceae;g__Shewanella;__	23467.0	22781.0	24597.0	26967.0	28475.0	27779.0	22903.0	25083.0	25371.0	25975.0	26191.0	26553.0	27367.0	30289.0	28848.0	25713.0	1153.0	1336.0	18360.0	19528.0	18479.0	17660.0	21904.0	19216.0	8605.0	13632.0	16338.0	27110.0	12830.0	15762.0	14074.0	8023.0	865.0	836.0	2792.0	2538.0	956.0	5966.0	169.0	6844.0	20702.0	27502.0	2265.0	16270.0	3974.0	2479.0	1760.0	179.0	5528.0	1446.0	2273.0	10532.0	1511.0	1911.0	2404.0	1608.0	640.0	1645.0	1087.0	3300.0	1975.0	2173.0	213.0	1926.0	25647.0	26544.0	24873.0	23609.0	16606.0	13737.0	15235.0	15937.0	9914.0	15687.0	8778.0	11488.0	14805.0	29845.0	14557.0	13157.0	12845.0	13926.0	15751.0	14995.0	16331.0	17053.0	15637.0	18395.0	521.0	166.0	620.0	213.0	159.0	1400.0	9446.0	13800.0	12102.0	10258.0	13818.0	7983.0	11788.0	10239.0	666.0	597.0	2709.0	124.0	1054.0	64.0	1639.0	12126.0	996.0	1774.0	1155.0	9.0	1636.0	1695.0	170.0	43.0	1479.0	4789.0	177.0	81.0	240.0	153.0	22.0	185.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas;s__uncultured_bacterium	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93.0	0.0	21.0	26.0	19.0	0.0	0.0	0.0	0.0	343.0	0.0	0.0	0.0	117.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	143.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	394.0	0.0	171.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Allobacillus;s__Allobacillus_halotolerans	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	86.0	0.0	0.0	33.0	0.0	0.0	0.0	198.0	806.0	0.0	898.0	135.0	24.0	0.0	0.0	2178.0	1119.0	2254.0	85.0	117.0	166.0	0.0	247.0	2727.0	8513.0	3497.0	39.0	0.0	0.0	0.0	163.0	5251.0	3547.0	5864.0	4891.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	651.0	186.0	878.0	357.0	279.0	178.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.0	0.0	184.0	0.0	4447.0	852.0	10299.0	10010.0	200.0	187.0	81.0	113.0	61.0	26.0	31.0	0.0	17.0	0.0	14735.0	0.0	3927.0	3075.0	103.0	1905.0
