".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"Evenness","0.1cfu","1000cfu",10,10,2.23045501579045,0.0257172506825507,0.334324258873159,"ns"
"Evenness","0.1cfu","100cfu",10,10,-0.439498525278907,0.660300350357386,1,"ns"
"Evenness","0.1cfu","10cfu",10,10,-0.0878997050557815,0.929956391029763,1,"ns"
"Evenness","0.1cfu","1cfu",10,10,-0.0329623893959181,0.973704580246061,1,"ns"
"Evenness","0.1cfu","Enumeration Spike Control",10,10,1.94478097435916,0.051801344906911,0.479576656332123,"ns"
"Evenness","0.1cfu","No Spike Control",10,10,4.07634882196186,4.5748375060458e-05,0.000823470751088244,"***"
"Evenness","1000cfu","100cfu",10,10,-2.66995354106936,0.00758617427463257,0.128964962668754,"ns"
"Evenness","1000cfu","10cfu",10,10,-2.31835472084623,0.0204300507271816,0.306450760907723,"ns"
"Evenness","1000cfu","1cfu",10,10,-2.26341740518637,0.0236099708204278,0.330539591485989,"ns"
"Evenness","1000cfu","Enumeration Spike Control",10,10,-0.285674041431289,0.775127788428304,1,"ns"
"Evenness","1000cfu","No Spike Control",10,10,1.84589380617141,0.0649076261918024,0.51926100953442,"ns"
"Evenness","100cfu","10cfu",10,10,0.351598820223125,0.725139150106473,1,"ns"
"Evenness","100cfu","1cfu",10,10,0.406536135882989,0.684348711309402,1,"ns"
"Evenness","100cfu","Enumeration Spike Control",10,10,2.38427949963807,0.0171125997816041,0.273801596505666,"ns"
"Evenness","100cfu","No Spike Control",10,10,4.51584734724077,6.30640830837697e-06,0.000132434574475916,"***"
"Evenness","10cfu","1cfu",10,10,0.0549373156598634,0.956188403157299,1,"ns"
"Evenness","10cfu","Enumeration Spike Control",10,10,2.03268067941494,0.0420847944963748,0.462932739460123,"ns"
"Evenness","10cfu","No Spike Control",10,10,4.16424852701764,3.12379708326557e-05,0.000624759416653113,"***"
"Evenness","1cfu","Enumeration Spike Control",10,10,1.97774336375508,0.0479576656332123,0.479576656332123,"ns"
"Evenness","1cfu","No Spike Control",10,10,4.10931121135778,3.96840982624834e-05,0.000753997866987184,"***"
"Evenness","Enumeration Spike Control","No Spike Control",10,10,2.1315678476027,0.0330423892875551,0.396508671450661,"ns"
