,BLAST Spike,BLAST Silva
A1,0,0
A2,0,0
A3,0,0
A4,0,0
A5,0,0
A6,5,5
A7,17,17
B1,0,0
B2,0,0
B3,0,0
B4,0,0
B5,0,0
B6,0,0
B7,9,9
C1,0,0
C2,0,0
C3,0,0
C4,0,0
C5,0,0
C6,0,0
C7,7,7
D1,0,0
D2,0,0
D3,0,0
D4,0,0
D5,0,0
D6,0,0
D7,7,7
E1,0,0
E2,0,0
E3,0,0
E4,0,0
E5,0,0
E6,3,3
E7,9,9
F1,0,0
F2,0,0
F3,0,0
F4,0,0
F5,0,0
F6,8,8
F7,44,44
G1,0,0
G2,0,0
G3,0,0
G4,0,0
G5,0,0
G6,6,6
G7,49,49
H1,0,0
H2,0,0
H3,0,0
H4,0,0
H5,0,0
H6,0,0
H7,53,53
I1,0,0
I2,0,0
I3,0,0
I4,0,0
I5,0,0
I6,11,11
I7,50,50
J1,0,0
J2,0,0
J3,0,0
J4,0,0
J5,0,0
J6,5,5
J7,31,31
L1,9,9
L2,24,24
L3,17,17
L4,190,190
L5,247,247
L6,229,229
S1,0,0
S2,0,0
S3,0,0
S4,0,0
S5,0,0
S6,0,0
X1,0,0
X2,0,0
Z1,0,0
Z2,0,0
Z3,0,0
Z4,0,0
Z5,0,0
Z6,0,0
