,BLAST,Machine
A1,0,30
A2,0,57
A3,0,39
A4,0,61
A5,0,39
A6,5,56
A7,17,80
B1,0,17
B2,0,73
B3,0,41
B4,0,73
B5,0,68
B6,0,62
B7,9,74
C1,0,13
C2,0,35
C3,0,47
C4,0,89
C5,0,77
C6,0,61
C7,7,50
D1,0,25
D2,0,37
D3,0,67
D4,0,51
D5,0,57
D6,0,56
D7,7,57
E1,0,20
E2,0,78
E3,0,38
E4,0,77
E5,0,35
E6,3,42
E7,9,245
F1,0,1133
F2,0,1596
F3,0,1730
F4,0,1119
F5,0,2034
F6,8,1597
F7,44,1489
G1,0,1172
G2,0,1452
G3,0,1250
G4,0,1114
G5,0,1689
G6,6,1628
G7,49,1169
H1,0,1450
H2,0,1233
H3,0,1390
H4,0,1080
H5,0,1510
H6,0,1505
H7,53,1461
I1,0,1314
I2,0,1725
I3,0,1484
I4,0,1527
I5,0,1478
I6,11,2024
I7,50,879
J1,0,1364
J2,0,1946
J3,0,1693
J4,0,1851
J5,0,1276
J6,5,1250
J7,31,1118
L1,9,1100
L2,24,1155
L3,17,1642
L4,190,9906
L5,247,10961
L6,229,11715
S1,0,685
S2,0,789
S3,0,853
S4,0,321
S5,0,7857
S6,0,7270
X1,0,1359
X2,0,7490
Z1,0,29
Z2,0,40
Z3,0,7
Z4,0,50
Z5,0,84
Z6,0,95
