Sample_ID,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Allobacillus;s__Allobacillus_halotolerans,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;__,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Listeriaceae;g__Listeria;s__Listeria_monocytogenes,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Imtechella;s__Imtechella_halotolerans,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella_enterica
HT1,64,1634,35,2,0
HT2,0,5167,180,19,151
HT3,184,3860,106,0,15
HT4,0,272,5,4,0
HT5,4447,175,19,2886,0
HT6,852,44,0,298,0
HT7,10299,881,133,3511,0
HT8,10010,553,224,5219,0
LV1,31,77,326,2,91
LV2,0,6,11,0,30
LV3,17,513,817,0,160
LV4,0,373,286,11,254
LV5,14735,293,26,13069,0
LV6,0,2,0,40,0
LV7,3927,174,22,1709,0
LV8,3075,117,4,1240,0
