".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"Richness","0.1cfu","1000cfu",10,10,0.644477170418035,0.519266056973522,1,"ns"
"Richness","0.1cfu","100cfu",10,10,0.80972772693548,0.418096678618765,1,"ns"
"Richness","0.1cfu","10cfu",10,10,0.677527281721524,0.498071466500763,1,"ns"
"Richness","0.1cfu","1cfu",10,10,-0.842777838238969,0.399352704714617,1,"ns"
"Richness","0.1cfu","Enumeration Spike Control",10,10,-0.677527281721525,0.498071466500763,1,"ns"
"Richness","0.1cfu","No Spike Control",10,10,-2.50079175529733,0.0123916018569911,0.223048833425839,"ns"
"Richness","1000cfu","100cfu",10,10,0.165250556517445,0.868746773864764,1,"ns"
"Richness","1000cfu","10cfu",10,10,0.0330501113034895,0.973634626405064,1,"ns"
"Richness","1000cfu","1cfu",10,10,-1.487255008657,0.136947472453756,1,"ns"
"Richness","1000cfu","Enumeration Spike Control",10,10,-1.32200445213956,0.186166668389073,1,"ns"
"Richness","1000cfu","No Spike Control",10,10,-3.14526892571537,0.00165934221032943,0.0315275019962593,"*"
"Richness","100cfu","10cfu",10,10,-0.132200445213955,0.894825748982863,1,"ns"
"Richness","100cfu","1cfu",10,10,-1.65250556517445,0.0984315315839558,1,"ns"
"Richness","100cfu","Enumeration Spike Control",10,10,-1.487255008657,0.136947472453756,1,"ns"
"Richness","100cfu","No Spike Control",10,10,-3.31051948223281,0.000931229694597747,0.0195558235865527,"*"
"Richness","10cfu","1cfu",10,10,-1.52030511996049,0.128434307840996,1,"ns"
"Richness","10cfu","Enumeration Spike Control",10,10,-1.35505456344305,0.175400173497384,1,"ns"
"Richness","10cfu","No Spike Control",10,10,-3.17831903701886,0.00148131655162888,0.0296263310325775,"*"
"Richness","1cfu","Enumeration Spike Control",10,10,0.165250556517445,0.868746773864764,1,"ns"
"Richness","1cfu","No Spike Control",10,10,-1.65801391705836,0.0973146573662399,1,"ns"
"Richness","Enumeration Spike Control","No Spike Control",10,10,-1.82326447357581,0.0682633442662034,1,"ns"
