"term","group1","group2","null.value","estimate","conf.low","conf.high","p.adj","p.adj.signif"
"Treatment","0.1cfu","1000cfu",0,5.85000000000004,-19.2935003170221,30.9935003170222,0.992,"ns"
"Treatment","0.1cfu","100cfu",0,7.35000000000001,-17.7935003170222,32.4935003170222,0.973,"ns"
"Treatment","0.1cfu","10cfu",0,6.15000000000003,-18.9935003170221,31.2935003170222,0.989,"ns"
"Treatment","0.1cfu","1cfu",0,-7.64999999999998,-32.7935003170222,17.4935003170222,0.967,"ns"
"Treatment","0.1cfu","Enumeration Spike Control",0,-6.14999999999996,-31.2935003170221,18.9935003170222,0.989,"ns"
"Treatment","0.1cfu","No Spike Control",0,-22.7,-47.8435003170221,2.44350031702222,0.103,"ns"
"Treatment","1000cfu","100cfu",0,1.49999999999996,-23.6435003170222,26.6435003170221,1,"ns"
"Treatment","1000cfu","10cfu",0,0.29999999999999,-24.8435003170222,25.4435003170222,1,"ns"
"Treatment","1000cfu","1cfu",0,-13.5,-38.6435003170222,11.6435003170221,0.66,"ns"
"Treatment","1000cfu","Enumeration Spike Control",0,-12,-37.1435003170222,13.1435003170222,0.77,"ns"
"Treatment","1000cfu","No Spike Control",0,-28.55,-53.6935003170222,-3.40649968297783,0.0162,"*"
"Treatment","100cfu","10cfu",0,-1.19999999999997,-26.3435003170222,23.9435003170222,1,"ns"
"Treatment","100cfu","1cfu",0,-15,-40.1435003170222,10.1435003170222,0.542,"ns"
"Treatment","100cfu","Enumeration Spike Control",0,-13.5,-38.6435003170221,11.6435003170222,0.66,"ns"
"Treatment","100cfu","No Spike Control",0,-30.05,-55.1935003170221,-4.90649968297779,0.00944,"**"
"Treatment","10cfu","1cfu",0,-13.8,-38.9435003170222,11.3435003170222,0.637,"ns"
"Treatment","10cfu","Enumeration Spike Control",0,-12.3,-37.4435003170222,12.8435003170222,0.75,"ns"
"Treatment","10cfu","No Spike Control",0,-28.85,-53.9935003170222,-3.70649968297782,0.0145,"*"
"Treatment","1cfu","Enumeration Spike Control",0,1.50000000000002,-23.6435003170222,26.6435003170222,1,"ns"
"Treatment","1cfu","No Spike Control",0,-15.05,-40.1935003170221,10.0935003170222,0.538,"ns"
"Treatment","Enumeration Spike Control","No Spike Control",0,-16.55,-41.6935003170222,8.59350031702218,0.422,"ns"
