".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"Shannon","0.1cfu","1000cfu",8,8,4.46428571428571,8.03363039549794e-06,0.000120504455932469,"***"
"Shannon","0.1cfu","100cfu",8,8,4.25,2.13770515498688e-05,0.000299278721698164,"***"
"Shannon","0.1cfu","10cfu",8,8,3.21428571428571,0.00130769480810927,0.0170000325054206,"*"
"Shannon","0.1cfu","1cfu",8,8,1.58928571428571,0.111995902497665,0.833300470643513,"ns"
"Shannon","0.1cfu","No Spike Control",8,8,1.58928571428571,0.111995902497665,0.833300470643513,"ns"
"Shannon","1000cfu","100cfu",8,8,-0.214285714285714,0.830324257655795,1,"ns"
"Shannon","1000cfu","10cfu",8,8,-1.25,0.21129954733371,0.845198189334842,"ns"
"Shannon","1000cfu","1cfu",8,8,-2.875,0.004040274979892,0.0484832997587041,"*"
"Shannon","1000cfu","No Spike Control",8,8,-2.875,0.004040274979892,0.0484832997587041,"*"
"Shannon","100cfu","10cfu",8,8,-1.03571428571429,0.300335455676674,0.901006367030022,"ns"
"Shannon","100cfu","1cfu",8,8,-2.66071428571429,0.00779750926259635,0.0779750926259635,"ns"
"Shannon","100cfu","No Spike Control",8,8,-2.66071428571429,0.00779750926259635,0.0779750926259635,"ns"
"Shannon","10cfu","1cfu",8,8,-1.625,0.104162558830439,0.833300470643513,"ns"
"Shannon","10cfu","No Spike Control",8,8,-1.625,0.104162558830439,0.833300470643513,"ns"
"Shannon","1cfu","No Spike Control",8,8,0,1,1,"ns"
