Sample_ID,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;__,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Allobacillus;s__Allobacillus_halotolerans,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Listeriaceae;g__Listeria;s__Listeria_monocytogenes,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Imtechella;s__Imtechella_halotolerans,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella_enterica
A1,0,0,0,0,0
A2,0,0,0,0,0
A3,0,0,0,0,0
A4,0,0,0,0,0
A5,0,0,0,0,0
A6,0,0,0,0,0
A7,0,0,0,0,0
A8,0,0,0,0,0
B1,0,0,0,0,0
B2,0,0,0,0,0
B3,0,0,0,0,0
B4,0,0,0,0,0
B5,0,0,0,0,0
B6,0,0,0,0,0
B7,0,0,0,0,0
B8,0,0,0,0,0
C1,0,0,0,0,0
C2,0,0,0,0,0
C3,0,0,0,0,0
C4,0,0,0,0,0
C5,0,0,0,0,0
C6,0,0,0,0,0
C7,0,0,0,3,0
C8,0,0,0,0,0
D1,0,0,0,0,0
D2,0,0,0,0,0
D3,0,0,0,0,0
D4,0,0,0,0,0
D5,0,0,0,0,0
D6,0,0,0,27,0
D7,0,0,0,0,0
D8,0,0,0,6,0
E1,0,0,8,0,0
E2,0,0,0,0,0
E3,4,0,0,0,0
E4,2,0,4,0,0
E5,0,0,0,0,0
E6,0,0,0,5,0
E7,0,0,0,2,0
E8,0,0,0,0,0
F1,11,0,0,0,0
F2,0,0,0,0,0
F3,6,0,0,0,0
F4,21,0,8,0,0
F5,4,0,0,0,0
F6,0,0,0,0,0
F7,2,0,0,0,0
F8,2,0,5,0,9
