Feature ID,Domain,Phylum,Class,Order,Family,Genus,Species,Consensus
04df077c923f059c26dcdb1fc2ec7316,Unassigned,,,,,,,1
c6a615c940feb2bb9fc3b2be407912c0,Unassigned,,,,,,,1
50119cb795c48ecc6c81b3f67ec8f6ca,Unassigned,,,,,,,1
83809e2439fa67d34a3aaa591bec9b25,Unassigned,,,,,,,1
098a85828a5987175cf14be14a85efe5,Unassigned,,,,,,,1
04d3c1196aefeaffca4f15ebc65d37c9,Unassigned,,,,,,,1
fd6c44390bd9f248ff7937b2b9459c29,Unassigned,,,,,,,1
c18aeeb4b3cd78f7157b00de814a2dc6,Unassigned,,,,,,,1
132de6ffca803c7e26bb0605996afa4c,Unassigned,,,,,,,1
944ef6509f92e8630e83cfad048214f0,Unassigned,,,,,,,1
b443a205a6842897c3be7a77c8d5758a,Unassigned,,,,,,,1
96c1bb96c87a017a982526c95a0097fa,Unassigned,,,,,,,1
9475fcb291941ca304ccd338bf2abc78,Unassigned,,,,,,,1
8d9b2f0fe839489ef304c956f485e9c4,Unassigned,,,,,,,1
64d3d8a53d6012ac40ecd406c0979a10,Unassigned,,,,,,,1
31dfa77cefcce2669f31f654e78b266f,Unassigned,,,,,,,1
50d4a2e6494d63f50fe0b7b0f4c60985,Unassigned,,,,,,,1
b6bf74f8cf770066718ab8ec57c5873a,Unassigned,,,,,,,1
b822fab5bc1750d0b28051c683e6ecb7,Unassigned,,,,,,,1
e5e169698859ffaf80c44c9eba803432,Unassigned,,,,,,,1
8b07c42eb78ed080898f961c682da000,Unassigned,,,,,,,1
31caa685e329677548e104da816a917d,Unassigned,,,,,,,1
50713cfbd3b28bfc47d4b90a1e68ef4a,Unassigned,,,,,,,1
38dc5d744ac3f5fe129760a7dbf3f309,Unassigned,,,,,,,1
cab0932c9af96482948cb8380dff602f,Unassigned,,,,,,,1
a4c47c9575993c8f0a2ab203f28712f7,Unassigned,,,,,,,1
d242f47110fa0f11ab6d77f02de01a4a,Unassigned,,,,,,,1
9af4c2803d60af74f39ce52f76fed228,Unassigned,,,,,,,1
80cc5610fc5bbf23e3819251b34c48a3,Unassigned,,,,,,,1
cf5fc5dbc97e933ffb940a8463f6c533,Unassigned,,,,,,,1
ea476655bcdbe424a859ff299663d19b,d__Bacteria,p__Bacillota,c__Bacilli,o__Bacillales,,,,0.991545017
14902a94bc997a21242b0ef0d3577f17,Unassigned,,,,,,,1
e42b57441185b25b21141d6f2342de7c,Unassigned,,,,,,,1
72fb4d3b097f379103c51f44bba18f38,Unassigned,,,,,,,1
14d1fa60ee9cb9021abe17b8e95fd736,Unassigned,,,,,,,1
a6efa139ae3d228032876c9b490de8b7,Unassigned,,,,,,,1
5784df31853c461d4221d8c6be6f93c3,Unassigned,,,,,,,1
31daca6d4b9d57d41e904147e87b15ac,Unassigned,,,,,,,1
c7f83ddf3efaa1f4dda5c865c650194e,Unassigned,,,,,,,1
85d2eaded071044126798babcccee5a4,Unassigned,,,,,,,1
0456c465a192066df0a48f89c8d9e04c,Unassigned,,,,,,,1
247a9281a80135e02bf8af740e0adba9,Unassigned,,,,,,,1
5361caf886f0f9af40a83cf312a9d3cc,Unassigned,,,,,,,1
1a62e73e2aedef8fbf7d337cbef06f2b,Unassigned,,,,,,,1
15a634a6189dcac42bb1603939158c7f,Unassigned,,,,,,,1
ff26ba2bed84e3c2dfae3027037a9f5b,Unassigned,,,,,,,1
446980d560d8e252b18fa92c9b178698,Unassigned,,,,,,,1
fa010f6c69090bd585f040640cf78ae7,Unassigned,,,,,,,1
36926d91e07a528477e8fd2673844a21,Unassigned,,,,,,,1
46800702a563cde180aa3bc5e0b57f43,Unassigned,,,,,,,1
278a5b7d5ea39eac25b7208cb355993c,Unassigned,,,,,,,1
066fd34c923d5bfe2ac7825187fd4fa4,Unassigned,,,,,,,1
e2380bddeb4cdd634bd6eb48b5177cf7,d__Bacteria,p__Bacillota,c__Bacilli,o__Bacillales,f__Listeriaceae,g__Listeria,,0.999825567
064c51d07d36b5c7d848015f9959effa,Unassigned,,,,,,,1
e3decaafb7c2381fd2fb3dc743bf3fc9,Unassigned,,,,,,,1
f28a950d9bcc6f60462d14c2e2463dd8,Unassigned,,,,,,,1
97270f714dd5d2e071fd14f38b83d030,Unassigned,,,,,,,1
ee62beefa950ab1bd56466880cae4738,Unassigned,,,,,,,1
4b61f1f82cbfe8963340c530cb559e65,Unassigned,,,,,,,1
f69642a8e971651fe1da6e9000b070ad,d__Bacteria,p__Campylobacterota,c__Epsilonproteobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Campylobacter,,1
f2f9eed69f1f3dba050654c4e4ba89ee,Unassigned,,,,,,,1
ad611bd454918d28f4164583f396b7bf,Unassigned,,,,,,,1
c89fdbb7d4f7906e8c6809b0585e6016,Unassigned,,,,,,,1
2f1938a867dffdf7400d41cdebd501ef,Unassigned,,,,,,,1
322afd03d9a3828fc1e830d62c7496ae,Unassigned,,,,,,,1
80838b536834c80be8dfc25e3884c7e5,Unassigned,,,,,,,1
f96ee00ed1c271d767eaa206692af431,Unassigned,,,,,,,1
13b218664e5ab5cb264d8b3832c538f6,Unassigned,,,,,,,1
8231a087b645bdae16716cf05869aeee,Unassigned,,,,,,,1
a1a6af117d7162f8b38a0ef5c39d3c63,Unassigned,,,,,,,1
21be8a9c19cc2047a118dc114693dfd5,Unassigned,,,,,,,1
1ee8fb5a18341071103ceb00deed3fb4,Unassigned,,,,,,,1
d196e1ddcfb37bd9ae011ed2b6daa457,Unassigned,,,,,,,1
bba8989f801bc0cdab736c06e63af0cd,Unassigned,,,,,,,1
41dcbfeb5a3f29130fb0dc37170bb948,Unassigned,,,,,,,1
77ebe6fa8dd061ad1856eeb7dad80e82,Unassigned,,,,,,,1
f680baa6b3cbddcf2e25b2642ae11bc4,Unassigned,,,,,,,1
d878e570590204404753ddf89e069411,Unassigned,,,,,,,1
fd065a780249eb6f59043e12ba2a0638,Unassigned,,,,,,,1
17c742b4ce4de21188c439ed48593cdd,Unassigned,,,,,,,1
d1983b75d47eeb9d02999688984bbc57,Unassigned,,,,,,,1
1c8b0b204424f435fdca3ef984acad3b,Unassigned,,,,,,,1
dff29b2b7acaebc05dbc832baee357fd,Unassigned,,,,,,,1
f6bf63d82df4a4c4082f279ac800bdbd,Unassigned,,,,,,,1
f599df88c707527a2c8cac056f60c066,Unassigned,,,,,,,1
d59d4fd829a3eed7ee6808402cb480a5,Unassigned,,,,,,,1
729ca1ddee1f3b29b6fcd230929b5dff,Unassigned,,,,,,,1
12748e5d0b5fea69e764665609854b8b,Unassigned,,,,,,,1
858f90af63aaa87f046c6415dfbf4b1d,Unassigned,,,,,,,1
11d2d47018b3552cec63e9b72224c17f,Unassigned,,,,,,,1
5e07ab63dd389036cb2f44092e60102d,Unassigned,,,,,,,1
e70f12bd99bb46a69ef383fb3be7c091,Unassigned,,,,,,,1
9b966d846744bf1fa3caf6f6d1e7147b,Unassigned,,,,,,,1
18df3cedbe741c6e4d493360e7b5b7a6,Unassigned,,,,,,,1
f02d55c2de5da1b40854f0668f38c831,Unassigned,,,,,,,1
8a755191241452631e45048c95e0f75e,Unassigned,,,,,,,1
fe8f674e70abea6e350bddb4dca6394f,Unassigned,,,,,,,1
c31f10615072ec814dd89f522a2c5886,Unassigned,,,,,,,1
b04fbffdd3cecb55dbbac38d1cafdf6a,Unassigned,,,,,,,1
cac1ad66f71f81683bb1cb2c2b00d67c,Unassigned,,,,,,,1
855d850ba115a594cf1ddc00221bde81,Unassigned,,,,,,,1
658ea5b357213f6a09fe4547fa7856af,Unassigned,,,,,,,1
1d3aa64bf819df16496819f0094b461a,Unassigned,,,,,,,1
fbaa4a8604739620c90a494c32d337d3,Unassigned,,,,,,,1
49209ed53cdcd0a49316a1f06315510f,Unassigned,,,,,,,1
a964ce01f84e0b4d4568a6dd49477326,Unassigned,,,,,,,1
140f73f0bef45c1719c2de58a710c138,Unassigned,,,,,,,1
dc8121d41d99797c4f760860aa47dc2d,Unassigned,,,,,,,1
177dec7464891e46919e6d559576760f,Unassigned,,,,,,,1
726c1c46575ab0d6f3d86894c1ef4f28,Unassigned,,,,,,,1
e03c045fdfbe0f5d0162175dd01ec381,Unassigned,,,,,,,1
b8be24e81eec22b95a0838da3ebba939,Unassigned,,,,,,,1
c0fe30e13ac62fa9cf356e8a7c7389d0,Unassigned,,,,,,,1
0daf545ccfd039b841af7f625f7c9fa2,Unassigned,,,,,,,1
79280652bf979e3fe6f78a4f0c681dd1,Unassigned,,,,,,,1
57b90f10e01469368653879019b2dcd2,Unassigned,,,,,,,1
618c8f38412887d83a649c5c02d90fba,Unassigned,,,,,,,1
c62f11eee7479dd5a25955126c98ff14,d__Bacteria,p__Bacteroidota,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Imtechella,s__Imtechella_halotolerans,0.99818992
