,BLAST,Machine
A1,0,0
A2,0,0
A3,0,0
A4,0,0
A5,0,0
A6,0,0
A7,28,28
B1,0,0
B2,0,0
B3,0,3
B4,0,0
B5,3,3
B6,3,6
B7,28,28
C1,0,0
C2,0,0
C3,0,3
C4,0,0
C5,0,0
C6,0,0
C7,33,38
D1,0,0
D2,0,0
D3,0,0
D4,0,0
D5,0,0
D6,8,8
D7,18,18
E1,2,2
E2,0,0
E3,0,0
E4,0,0
E5,0,0
E6,0,7
E7,27,54
F1,0,0
F2,0,0
F3,0,0
F4,0,0
F5,0,0
F6,2,2
F7,4,11
G1,0,0
G2,0,0
G3,0,0
G4,0,0
G5,0,0
G6,0,0
G7,8,8
H1,0,0
H2,0,0
H3,0,0
H4,0,0
H5,0,2
H6,2,2
H7,8,8
I1,0,0
I2,0,0
I3,0,0
I4,0,2
I5,0,0
I6,0,0
I7,6,9
J1,0,0
J2,0,0
J3,0,0
J4,0,0
J5,0,0
J6,0,4
J7,13,13
L1,0,0
L2,0,0
L3,0,0
L4,0,0
L5,0,0
L6,0,3
S1,0,0
S2,0,0
S3,0,0
S4,0,0
S5,0,0
S6,0,0
X1,38,49
X2,458,502
Z1,60279,60286
Z2,60663,60673
Z3,60952,60963
Z4,63385,63397
Z5,73245,73247
Z6,60487,60506
