"Treatment","ESDilution","Reads","Richness","Shannon","Evenness"
"No Spike Control","1:1000",91530,32,2.10818325890884,0.608293106582584
"No Spike Control","1:1000",90302,31,2.1226075233637,0.618117481798229
"No Spike Control","1:1000",91554,31,2.09862861794239,0.611134664451098
"No Spike Control","1:1000",104735,31,2.119509321679,0.617215264783368
"No Spike Control","1:10",106407,32,2.08687432215693,0.602144647106863
"No Spike Control","1:10",96125,34,2.03592864865079,0.577345576108501
"No Spike Control","1:10",91237,30,2.13662051800063,0.628196566750405
"No Spike Control","1:10",93021,31,2.09290412982867,0.609467655294439
"0.1cfu","1:1000",94329,30,2.0392930724808,0.599580925081214
"0.1cfu","1:1000",92201,31,2.05000894322619,0.596976290578098
"0.1cfu","1:1000",92978,32,2.04432190668259,0.589866615350329
"0.1cfu","1:1000",96689,33,2.07298655306959,0.592873464915416
"0.1cfu","1:10",92087,27,1.97791916383874,0.600126536674324
"0.1cfu","1:10",108178,29,2.00585388631868,0.595686861978722
"0.1cfu","1:10",105044,31,2.01277839207099,0.586134505522354
"0.1cfu","1:10",100585,36,2.06754841887132,0.576960371740658
"1cfu","1:1000",94990,33,2.06681225734222,0.591107618390325
"1cfu","1:1000",95074,45,2.050162211318,0.538572100055475
"1cfu","1:1000",93466,33,2.09209525399308,0.598338547025944
"1cfu","1:1000",96087,32,2.14090866721643,0.61773566343787
"1cfu","1:10",92647,31,2.15745774227479,0.628266098212867
"1cfu","1:10",97607,28,2.06337462933895,0.619222086471054
"1cfu","1:10",92006,28,2.11737719320395,0.635428343830138
"1cfu","1:10",93617,29,2.11556380666685,0.628267878285986
"10cfu","1:1000",99084,30,2.32236074510302,0.682806813160632
"10cfu","1:1000",95384,32,2.24993861363834,0.649195056040124
"10cfu","1:1000",93581,34,2.3074250707445,0.654336122083165
"10cfu","1:1000",92637,30,2.32038468708747,0.682225824234142
"10cfu","1:10",97029,29,2.09552082435688,0.622315629561213
"10cfu","1:10",98930,27,1.39592968891586,0.423543320154738
"10cfu","1:10",105481,32,2.1511796280243,0.620699236282403
"10cfu","1:10",94960,31,2.11737377313438,0.616593378789784
"100cfu","1:1000",90920,32,2.33725421453151,0.674389012920289
"100cfu","1:1000",106797,33,2.28273712403104,0.652862058468889
"100cfu","1:1000",104923,34,2.2719943563487,0.644288733522504
"100cfu","1:1000",95445,36,2.32160639622578,0.647856600201476
"100cfu","1:10",96119,31,2.17163284355098,0.632393982340588
"100cfu","1:10",96565,33,2.16929233777901,0.620416887320895
"100cfu","1:10",96799,33,2.18069954549622,0.623679344935152
"100cfu","1:10",94151,30,2.13843090001367,0.628728844595494
"1000cfu","1:1000",96864,39,2.34297433818477,0.639534574410667
"1000cfu","1:1000",94753,30,2.29832950611464,0.675741289966374
"1000cfu","1:1000",94932,36,2.30423930160962,0.643010220172676
"1000cfu","1:1000",101413,38,2.33071681021931,0.640731712701102
"1000cfu","1:10",106877,36,2.15822120664354,0.602263094938007
"1000cfu","1:10",95115,33,2.19396928202728,0.627474485170883
"1000cfu","1:10",99391,31,2.14583958982629,0.624882814654521
"1000cfu","1:10",93762,34,2.19950211012071,0.623731491651756
