"","Sample_ID","Taxonomy","Frequency","Treatment","Spike"
"1","A1","C",0,"No Spike Control","Pathogen Spike-in"
"2","A1","A",0,"No Spike Control","Enumeration Spike-in"
"3","A1","L",0,"No Spike Control","Pathogen Spike-in"
"4","A1","I",0,"No Spike Control","Enumeration Spike-in"
"5","A1","S",0,"No Spike Control","Pathogen Spike-in"
"6","A1","T",0,"No Spike Control","Enumeration Spike-in"
"7","B1","C",0,"Enumeration Spike Control","Pathogen Spike-in"
"8","B1","A",0,"Enumeration Spike Control","Enumeration Spike-in"
"9","B1","L",0,"Enumeration Spike Control","Pathogen Spike-in"
"10","B1","I",2,"Enumeration Spike Control","Enumeration Spike-in"
"11","B1","S",0,"Enumeration Spike Control","Pathogen Spike-in"
"12","B1","T",11,"Enumeration Spike Control","Enumeration Spike-in"
"13","C1","C",0,"0.1cfu","Pathogen Spike-in"
"14","C1","A",0,"0.1cfu","Enumeration Spike-in"
"15","C1","L",0,"0.1cfu","Pathogen Spike-in"
"16","C1","I",0,"0.1cfu","Enumeration Spike-in"
"17","C1","S",0,"0.1cfu","Pathogen Spike-in"
"18","C1","T",7,"0.1cfu","Enumeration Spike-in"
"19","D1","C",0,"1cfu","Pathogen Spike-in"
"20","D1","A",0,"1cfu","Enumeration Spike-in"
"21","D1","L",0,"1cfu","Pathogen Spike-in"
"22","D1","I",3,"1cfu","Enumeration Spike-in"
"23","D1","S",0,"1cfu","Pathogen Spike-in"
"24","D1","T",5,"1cfu","Enumeration Spike-in"
"25","E1","C",0,"10cfu","Pathogen Spike-in"
"26","E1","A",0,"10cfu","Enumeration Spike-in"
"27","E1","L",0,"10cfu","Pathogen Spike-in"
"28","E1","I",0,"10cfu","Enumeration Spike-in"
"29","E1","S",6,"10cfu","Pathogen Spike-in"
"30","E1","T",0,"10cfu","Enumeration Spike-in"
"31","F1","C",0,"100cfu","Pathogen Spike-in"
"32","F1","A",0,"100cfu","Enumeration Spike-in"
"33","F1","L",5,"100cfu","Pathogen Spike-in"
"34","F1","I",4,"100cfu","Enumeration Spike-in"
"35","F1","S",7,"100cfu","Pathogen Spike-in"
"36","F1","T",10,"100cfu","Enumeration Spike-in"
"37","G1","C",28,"1000cfu","Pathogen Spike-in"
"38","G1","A",0,"1000cfu","Enumeration Spike-in"
"39","G1","L",17,"1000cfu","Pathogen Spike-in"
"40","G1","I",0,"1000cfu","Enumeration Spike-in"
"41","G1","S",20,"1000cfu","Pathogen Spike-in"
"42","G1","T",8,"1000cfu","Enumeration Spike-in"
"43","A2","C",0,"No Spike Control","Pathogen Spike-in"
"44","A2","A",0,"No Spike Control","Enumeration Spike-in"
"45","A2","L",0,"No Spike Control","Pathogen Spike-in"
"46","A2","I",0,"No Spike Control","Enumeration Spike-in"
"47","A2","S",0,"No Spike Control","Pathogen Spike-in"
"48","A2","T",0,"No Spike Control","Enumeration Spike-in"
"49","B2","C",0,"Enumeration Spike Control","Pathogen Spike-in"
"50","B2","A",0,"Enumeration Spike Control","Enumeration Spike-in"
"51","B2","L",0,"Enumeration Spike Control","Pathogen Spike-in"
"52","B2","I",0,"Enumeration Spike Control","Enumeration Spike-in"
"53","B2","S",0,"Enumeration Spike Control","Pathogen Spike-in"
"54","B2","T",3,"Enumeration Spike Control","Enumeration Spike-in"
"55","C2","C",0,"0.1cfu","Pathogen Spike-in"
"56","C2","A",0,"0.1cfu","Enumeration Spike-in"
"57","C2","L",0,"0.1cfu","Pathogen Spike-in"
"58","C2","I",7,"0.1cfu","Enumeration Spike-in"
"59","C2","S",0,"0.1cfu","Pathogen Spike-in"
"60","C2","T",8,"0.1cfu","Enumeration Spike-in"
"61","D2","C",0,"1cfu","Pathogen Spike-in"
"62","D2","A",0,"1cfu","Enumeration Spike-in"
"63","D2","L",0,"1cfu","Pathogen Spike-in"
"64","D2","I",2,"1cfu","Enumeration Spike-in"
"65","D2","S",0,"1cfu","Pathogen Spike-in"
"66","D2","T",4,"1cfu","Enumeration Spike-in"
"67","E2","C",3,"10cfu","Pathogen Spike-in"
"68","E2","A",0,"10cfu","Enumeration Spike-in"
"69","E2","L",0,"10cfu","Pathogen Spike-in"
"70","E2","I",0,"10cfu","Enumeration Spike-in"
"71","E2","S",9,"10cfu","Pathogen Spike-in"
"72","E2","T",14,"10cfu","Enumeration Spike-in"
"73","F2","C",3,"100cfu","Pathogen Spike-in"
"74","F2","A",0,"100cfu","Enumeration Spike-in"
"75","F2","L",0,"100cfu","Pathogen Spike-in"
"76","F2","I",2,"100cfu","Enumeration Spike-in"
"77","F2","S",0,"100cfu","Pathogen Spike-in"
"78","F2","T",5,"100cfu","Enumeration Spike-in"
"79","G2","C",28,"1000cfu","Pathogen Spike-in"
"80","G2","A",0,"1000cfu","Enumeration Spike-in"
"81","G2","L",9,"1000cfu","Pathogen Spike-in"
