"Sample_ID","Taxonomy","Frequency","Lysis","Treatment"
"A1","Unassigned.__.__.__.__.__.__",28,"Gram-negative Lysis","No Spike Control"
"A1","d__Bacteria.p__Firmicutes.c__Bacilli.o__Staphylococcales.f__Staphylococcaceae.g__Macrococcus.__",0,"Gram-negative Lysis","No Spike Control"
"A1","d__Bacteria.p__Campylobacterota.c__Campylobacteria.o__Campylobacterales.f__Campylobacteraceae.g__Campylobacter.__",0,"Gram-negative Lysis","No Spike Control"
"A1","d__Bacteria.p__Actinobacteriota.c__Acidimicrobiia.o__Actinomarinales.f__uncultured.g__uncultured.s__uncultured_bacterium",0,"Gram-negative Lysis","No Spike Control"
"A1","d__Bacteria.p__Actinobacteriota.c__Acidimicrobiia.o__Actinomarinales.f__uncultured.g__uncultured.__",0,"Gram-negative Lysis","No Spike Control"
"A1","d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Chitinophagales.f__Chitinophagaceae.g__Cnuella.__",0,"Gram-negative Lysis","No Spike Control"
"A1","d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Chitinophagales.f__Chitinophagaceae.g__uncultured.__",0,"Gram-negative Lysis","No Spike Control"
"A1","d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Sphingobacteriales.f__Sphingobacteriaceae.g__Pedobacter.s__uncultured_bacterium",0,"Gram-negative Lysis","No Spike Control"
"A1","d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Sphingobacteriales.f__Sphingobacteriaceae.g__Sphingobacterium.__",0,"Gram-negative Lysis","No Spike Control"
"A1","d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Sphingobacteriales.f__Sphingobacteriaceae.g__Sphingobacterium.s__Sphingobacterium_sp.",0,"Gram-negative Lysis","No Spike Control"
"A1","d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Sphingobacteriales.f__Sphingobacteriaceae.g__Pedobacter.__",0,"Gram-negative Lysis","No Spike Control"
"A1","d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Sphingobacteriales.f__Sphingobacteriaceae.__.__",0,"Gram-negative Lysis","No Spike Control"
"A1","d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Carnobacteriaceae.g__Carnobacterium.__",5,"Gram-negative Lysis","No Spike Control"
"A1","d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Aeromonadaceae.g__Aeromonas.__",0,"Gram-negative Lysis","No Spike Control"
"A1","d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae.g__Psychrobacter.__",10317,"Gram-negative Lysis","No Spike Control"
"A1","d__Bacteria.p__Firmicutes.c__Bacilli.o__Exiguobacterales.f__Exiguobacteraceae.g__Exiguobacterium.__",0,"Gram-negative Lysis","No Spike Control"
"A1","d__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Planococcaceae.g__Lysinibacillus.__",0,"Gram-negative Lysis","No Spike Control"
"A1","d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__uncultured_bacterium",0,"Gram-negative Lysis","No Spike Control"
"A1","d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.__",0,"Gram-negative Lysis","No Spike Control"
"A1","d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Carnobacteriaceae.g__Alloiococcus.s__uncultured_bacterium",0,"Gram-negative Lysis","No Spike Control"
"A1","d__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Bacillus.__",0,"Gram-negative Lysis","No Spike Control"
"A1","d__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Bacillus.s__uncultured_bacterium",0,"Gram-negative Lysis","No Spike Control"
"A1","d__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Allobacillus.s__Allobacillus_halotolerans",0,"Gram-negative Lysis","No Spike Control"
"A1","d__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Planococcaceae.g__Planococcus.__",0,"Gram-negative Lysis","No Spike Control"
"A1","d__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Bacillus.s__Bacillus_megaterium",0,"Gram-negative Lysis","No Spike Control"
"A1","d__Bacteria.p__Firmicutes.c__Bacilli.o__Staphylococcales.f__Staphylococcaceae.g__Staphylococcus.__",0,"Gram-negative Lysis","No Spike Control"
"A1","d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Listeriaceae.g__Listeria.s__Listeria_monocytogenes",0,"Gram-negative Lysis","No Spike Control"
"A1","d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Carnobacteriaceae.g__Carnobacterium.s__uncultured_bacterium",0,"Gram-negative Lysis","No Spike Control"
"A1","d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Pseudomonadaceae.g__Pseudomonas.__",2169,"Gram-negative Lysis","No Spike Control"
"A1","d__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Geobacillus.s__Geobacillus_thermodenitrificans",0,"Gram-negative Lysis","No Spike Control"
"A1","d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Aerococcaceae.g__Abiotrophia.s__uncultured_bacterium",0,"Gram-negative Lysis","No Spike Control"
"A1","d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Carnobacteriaceae.g__Granulicatella.__",0,"Gram-negative Lysis","No Spike Control"
"A1","d__Bacteria.p__Firmicutes.c__Bacilli.o__Staphylococcales.f__Staphylococcaceae.g__Jeotgalicoccus.s__uncultured_bacterium",0,"Gram-negative Lysis","No Spike Control"
"A1","d__Bacteria.p__Firmicutes.c__Bacilli.o__Staphylococcales.f__Gemellaceae.g__Gemella.s__uncultured_bacterium",0,"Gram-negative Lysis","No Spike Control"
"A1","d__Bacteria.p__Firmicutes.c__Bacilli.o__Staphylococcales.f__Staphylococcaceae.g__Staphylococcus.s__uncultured_bacterium",0,"Gram-negative Lysis","No Spike Control"
"A1","d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Aerococcaceae.g__Aerococcus.s__uncultured_bacterium",0,"Gram-negative Lysis","No Spike Control"
"A1","d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Listeriaceae.g__Brochothrix.__",21,"Gram-negative Lysis","No Spike Control"
"A1","d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Vagococcaceae.g__Vagococcus.__",0,"Gram-negative Lysis","No Spike Control"
"A1","d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus.s__uncultured_organism",0,"Gram-negative Lysis","No Spike Control"
"A1","d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus.__",0,"Gram-negative Lysis","No Spike Control"
"A1","d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Vagococcaceae.g__Vagococcus.s__uncultured_bacterium",0,"Gram-negative Lysis","No Spike Control"
"A1","d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Lactococcus.s__uncultured_bacterium",0,"Gram-negative Lysis","No Spike Control"
"A1","d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__uncultured_bacterium",4,"Gram-negative Lysis","No Spike Control"
"A1","d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.__",0,"Gram-negative Lysis","No Spike Control"
"A1","d__Bacteria.p__Actinobacteriota.c__Acidimicrobiia.o__Microtrichales.f__Ilumatobacteraceae.g__uncultured.s__uncultured_bacterium",0,"Gram-negative Lysis","No Spike Control"
"A1","d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Caulobacterales.f__Caulobacteraceae.g__Phenylobacterium.s__uncultured_bacterium",0,"Gram-negative Lysis","No Spike Control"
"A1","d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Erysipelothrix.s__Erysipelothrix_rhusiopathiae",0,"Gram-negative Lysis","No Spike Control"
"A1","d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.g__Erysipelotrichaceae_UCG.003.s__uncultured_bacterium",0,"Gram-negative Lysis","No Spike Control"
"A1","d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Levilactobacillus.__",0,"Gram-negative Lysis","No Spike Control"
"A1","d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Chthoniobacterales.f__Chthoniobacteraceae.g__Candidatus_Udaeobacter.__",0,"Gram-negative Lysis","No Spike Control"
"A1","d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Chthoniobacterales.f__Chthoniobacteraceae.g__Candidatus_Udaeobacter.s__uncultured_bacterium",0,"Gram-negative Lysis","No Spike Control"
"A1","d__Bacteria.p__Chloroflexi.c__Gitt.GS.136.o__Gitt.GS.136.f__Gitt.GS.136.g__Gitt.GS.136.__",0,"Gram-negative Lysis","No Spike Control"
"A1","d__Bacteria.p__Chloroflexi.c__KD4.96.o__KD4.96.f__KD4.96.g__KD4.96.s__uncultured_bacterium",0,"Gram-negative Lysis","No Spike Control"
"A1","d__Bacteria.p__Acidobacteriota.c__Blastocatellia.o__Pyrinomonadales.f__Pyrinomonadaceae.g__RB41.s__uncultured_bacterium",0,"Gram-negative Lysis","No Spike Control"
"A1","d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Flavobacteriaceae.g__Gillisia.s__uncultured_bacterium",0,"Gram-negative Lysis","No Spike Control"
"A1","d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Flavobacteriaceae.g__Flavobacterium.s__Flavobacterium_sp.",17,"Gram-negative Lysis","No Spike Control"
"A1","d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Flavobacteriaceae.g__Flavobacterium.__",86,"Gram-negative Lysis","No Spike Control"
