".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"Frequency","No Spike Control","Enumeration Spike Control",30,30,-0.231862814974043,0.816644566867242,1,"ns"
"Frequency","No Spike Control","0.1cfu",30,30,0.0398291952102652,0.968229300281095,1,"ns"
"Frequency","No Spike Control","1cfu",30,30,-0.231862814974043,0.816644566867242,1,"ns"
"Frequency","No Spike Control","10cfu",30,30,1.1265972359475,0.259912808305078,1,"ns"
"Frequency","No Spike Control","100cfu",30,30,3.17211090424611,0.00151335201840892,0.019673576239316,"*"
"Frequency","No Spike Control","1000cfu",30,30,9.4380967935753,3.79611600665729e-21,7.21262041264885e-20,"****"
"Frequency","Enumeration Spike Control","0.1cfu",30,30,0.271692010184308,0.785858845236201,1,"ns"
"Frequency","Enumeration Spike Control","1cfu",30,30,0,1,1,"ns"
"Frequency","Enumeration Spike Control","10cfu",30,30,1.35846005092154,0.174317750598627,1,"ns"
"Frequency","Enumeration Spike Control","100cfu",30,30,3.40397371922015,0.000664131428732782,0.00996197143099174,"**"
"Frequency","Enumeration Spike Control","1000cfu",30,30,9.66995960854934,4.04537709961869e-22,8.49529190919925e-21,"****"
"Frequency","0.1cfu","1cfu",30,30,-0.271692010184308,0.785858845236201,1,"ns"
"Frequency","0.1cfu","10cfu",30,30,1.08676804073723,0.277139335237945,1,"ns"
"Frequency","0.1cfu","100cfu",30,30,3.13228170903584,0.00173453357775788,0.0208144029330946,"*"
"Frequency","0.1cfu","1000cfu",30,30,9.39826759836503,5.54688022908565e-21,9.98438441235416e-20,"****"
"Frequency","1cfu","10cfu",30,30,1.35846005092154,0.174317750598627,1,"ns"
"Frequency","1cfu","100cfu",30,30,3.40397371922015,0.000664131428732782,0.00996197143099174,"**"
"Frequency","1cfu","1000cfu",30,30,9.66995960854934,4.04537709961869e-22,8.49529190919925e-21,"****"
"Frequency","10cfu","100cfu",30,30,2.04551366829861,0.0408042430710685,0.448846673781753,"ns"
"Frequency","10cfu","1000cfu",30,30,8.3114995576278,9.45002006698846e-17,1.60650341138804e-15,"****"
"Frequency","100cfu","1000cfu",30,30,6.26598588932919,3.70473883060955e-10,5.92758212897529e-09,"****"
