".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"Frequency","No Spike Control","0.1cfu",24,24,0,1,1,"ns"
"Frequency","No Spike Control","1cfu",24,24,0,1,1,"ns"
"Frequency","No Spike Control","10cfu",24,24,0,1,1,"ns"
"Frequency","No Spike Control","100cfu",24,24,1.95947372676728,0.0500573338384834,0.500573338384834,"ns"
"Frequency","No Spike Control","1000cfu",24,24,4.55586342511256,5.21708276438306e-06,7.8256241465746e-05,"****"
"Frequency","0.1cfu","1cfu",24,24,0,1,1,"ns"
"Frequency","0.1cfu","10cfu",24,24,0,1,1,"ns"
"Frequency","0.1cfu","100cfu",24,24,1.95947372676728,0.0500573338384834,0.500573338384834,"ns"
"Frequency","0.1cfu","1000cfu",24,24,4.55586342511256,5.21708276438306e-06,7.8256241465746e-05,"****"
"Frequency","1cfu","10cfu",24,24,0,1,1,"ns"
"Frequency","1cfu","100cfu",24,24,1.95947372676728,0.0500573338384834,0.500573338384834,"ns"
"Frequency","1cfu","1000cfu",24,24,4.55586342511256,5.21708276438306e-06,7.8256241465746e-05,"****"
"Frequency","10cfu","100cfu",24,24,1.95947372676728,0.0500573338384834,0.500573338384834,"ns"
"Frequency","10cfu","1000cfu",24,24,4.55586342511256,5.21708276438306e-06,7.8256241465746e-05,"****"
"Frequency","100cfu","1000cfu",24,24,2.59638969834528,0.00942091482406444,0.103630063064709,"ns"
