".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"Reads","-1","-2",16,16,1.92320841360288,0.0544538810455681,0.272269405227841,"ns"
"Reads","-1","-3",16,16,2.40719463689366,0.0160755997102979,0.0964535982617876,"ns"
"Reads","-1","-4",16,16,5.06911886499301,3.99661587808073e-07,5.19560064150495e-06,"****"
"Reads","-1","-5",16,16,6.3427668210214,2.2567487903722e-10,3.15944830652107e-09,"****"
"Reads","-1","-6",16,16,6.72486120782992,1.75759893536047e-11,2.6363984030407e-10,"****"
"Reads","-2","-3",16,16,0.48398622329079,0.628395646421664,1,"ns"
"Reads","-2","-4",16,16,3.14591045139013,0.00165570691351664,0.0132456553081332,"*"
"Reads","-2","-5",16,16,4.41955840741853,9.89027891845647e-06,0.000108793068103021,"***"
"Reads","-2","-6",16,16,4.80165279422705,1.57361368998693e-06,1.88833642798431e-05,"****"
"Reads","-3","-4",16,16,2.66192422809934,0.00776953662100211,0.0543867563470147,"ns"
"Reads","-3","-5",16,16,3.93557218412774,8.29987120550264e-05,0.000746988408495237,"***"
"Reads","-3","-6",16,16,4.31766657093626,1.57687398706604e-05,0.000157687398706604,"***"
"Reads","-4","-5",16,16,1.27364795602839,0.20278820849896,0.608364625496881,"ns"
"Reads","-4","-6",16,16,1.65574234283691,0.0977740084534623,0.391096033813849,"ns"
"Reads","-5","-6",16,16,0.382094386808518,0.702391355204848,1,"ns"
