,BLAST Spike,BLAST Silva
A1,0,0
A2,0,0
A3,0,0
A4,0,0
A5,6,6
A6,7,7
A7,20,20
B1,0,0
B2,0,0
B3,0,0
B4,0,0
B5,9,9
B6,0,0
B7,21,21
C1,0,0
C2,0,0
C3,0,0
C4,0,0
C5,0,0
C6,9,9
C7,23,23
D1,0,0
D2,0,0
D3,0,0
D4,0,0
D5,7,7
D6,0,0
D7,34,34
E1,0,0
E2,0,0
E3,0,0
E4,0,0
E5,8,8
E6,0,0
E7,18,18
F1,0,0
F2,0,0
F3,0,0
F4,0,0
F5,0,0
F6,0,0
F7,50,50
G1,0,0
G2,0,0
G3,0,0
G4,0,0
G5,0,0
G6,3,3
G7,48,48
H1,0,0
H2,0,0
H3,0,0
H4,0,0
H5,0,0
H6,0,0
H7,57,57
I1,0,0
I2,0,0
I3,7,7
I4,0,0
I5,0,0
I6,0,0
I7,34,34
J1,0,0
J2,0,0
J3,0,0
J4,0,0
J5,0,0
J6,0,0
J7,30,30
L1,0,0
L2,0,0
L3,0,0
L4,6,6
L5,18,0
L6,2,0
S1,29481,24777
S2,21195,17602
S3,25420,21001
S4,26967,22234
S5,18161,15013
S6,15987,13067
X1,1153,1153
X2,11595,9587
Z1,16,16
Z2,166,136
Z3,15,15
Z4,59,59
Z5,47,47
Z6,121,121
